NIT_ENTIDAD,NOMBRE_ENTIDAD,num_contratos,suma_valor_total_contrato,promedio_valor_total_contrato,num_departamentos,num_estados_proceso,num_clases_proceso,num_tipos_proceso,num_familias,num_clases,meses_desde_ultimo_contrato,SANTANDER,VAUPES,NARIÑO,CAQUETA,NO DEFINIDO,CASANARE,META,AMAZONAS,GUAVIARE,CAUCA,VICHADA,ANTIOQUIA,QUINDIO,CHOCO,SAN ANDRES PROVIDENCIA Y SANTA CATALINA,CALDAS,BOYACA,VALLE DEL CAUCA,CUNDINAMARCA,LA GUAJIRA,TOLIMA,ARAUCA,NORTE DE SANTANDER,BOGOTA,HUILA,SUCRE,ATLANTICO,BOLIVAR,RISARALDA,PUTUMAYO,MAGDALENA,GUAINIA,CORDOBA,CESAR,TERMINADO,ACTIVO,BORRADOR,CEDIDO,MODIFICADO,EN EJECUCION,ENVIADO PROVEEDOR,SUSPENDIDO,CERRADO,CONTRATACION DIRECTA,null,CONCURSO DE MERITOS,CONTRATACION MINIMA CUANTIA,LICITACION OBRA PUBLICA,SUBASTA,LICITACION PUBLICA,REGIMEN ESPECIAL,SELECCION ABREVIADA DE MENOR CUANTIA,EMPRESTITO,SEGUROS,CONSULTORIA,PRESTACION DE SERVICIOS,ACUERDO MARCO DE PRECIOS,COMISION,COMPRAVENTA,COMODATO,SUMINISTROS,SERVICIOS FINANCIEROS,NEGOCIO FIDUCIARIO,OTRO,VENTA INMUEBLES,ARRENDAMIENTO DE INMUEBLES,ARRENDAMIENTO DE MUEBLES,INTERVENTORIA,CONCESION,ASOCIACION PUBLICO PRIVADA,OBRA,DECREELAW0922017,VENTA MUEBLES,numero_de_multas,suma_valor_sancion,promedio_valor_sancion,meses_desde_ultima_multa
805027641,INSTITUCION EDUCATIVA RAFAEL NAVIA VARON,21,143107415,6814638.80952381,1,2,2,4,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,10,9,0,2,0,0,0,0,0,0,0,0,14,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,,,,
899999034,SENA REGIONAL CALDAS CENTRO PARA LA FORMACION CAFETERA,143,4797008008,3.3545510545454547E7,1,4,3,3,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,26,110,0,0,0,133,0,0,7,0,3,0,0,0,0,0,0,136,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,2.6631119E7,2663111.9,39.64516129
8605110716,FONDO ROTATORIO DEL MINISTERIO DE RELACIONES EXTERIORES,178,25267081930,1.4194989848314607E8,1,7,6,9,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,2,1,2,0,10,154,0,1,8,146,3,0,11,1,10,0,5,2,0,0,0,149,0,0,1,2,4,0,0,10,0,5,0,1,0,0,1,5,0,,,,
830063506,BOGOTA - TRANSMILENIO,1171,181157002383,1.5470282013919726E8,1,7,7,12,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,0,0,0,0,0,0,0,0,0,0,5,28,0,63,83,989,0,2,1,1092,9,3,10,17,2,0,21,17,1,2,2,1114,0,0,2,0,1,1,0,32,0,1,0,3,9,0,3,0,0,,,,
900816913,ESTABLECIMIENTO PUBLICO AMBIENTAL DEL DISTRITO DE BUENAVENTURA,1,223000000,2.23E8,1,1,0,1,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
890000858,MUNICIPIO DE MONTENEGRO,174,1886039839,1.083930941954023E7,1,3,3,4,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,168,0,0,0,155,8,0,10,0,0,0,0,1,0,0,2,159,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,1,5.002E7,5.002E7,59.77419355
900490473,UARIVUNIDAD PARA LA ATENCION Y REPARACION INTEGRAL A LAS VICTIMAS,1452,233979414526,1.6114284746969697E8,1,6,4,6,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,67,5,0,27,45,1307,0,1,0,1443,0,0,0,0,1,0,4,4,0,0,0,1407,0,0,0,0,1,1,0,7,0,32,0,0,0,0,0,4,0,,,,
900478966,UNIDAD NACIONAL PARA LA GESTION DEL RIESGO DE DESASTRES - UNGRD,85,4337538838,5.102986868235294E7,1,4,4,7,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,3,14,0,0,2,66,0,0,0,72,3,1,7,0,0,0,0,2,0,1,1,75,0,0,2,2,1,0,0,3,0,0,0,0,0,0,0,0,0,,,,
830000167,INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS - INVIMA,647,47836698144,7.393616405564143E7,1,6,6,7,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,0,0,0,16,4,0,15,57,553,0,2,0,557,41,1,15,4,26,0,0,3,0,1,1,583,0,0,9,1,24,0,0,28,0,0,0,0,0,0,0,0,0,,,,
811010104,INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO - INPEC,20,84523674,4226183.7,1,3,1,2,1,1,18,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,
